Trend,EoP,Period,"Primary income, $bn","Avg. Urals, $/bbl"
1,3/31/05,1Q05,1.1,43
2,6/30/05,2Q05,1.3,48
3,9/30/05,3Q05,1.5,57
4,12/31/05,4Q05,1.6,54
5,3/31/06,1Q06,1.6,58
6,6/30/06,2Q06,2.4,64
7,9/30/06,3Q06,2.7,65
8,12/31/06,4Q06,2.6,56
9,3/31/07,1Q07,2.6,54
10,6/30/07,2Q07,3.2,65
11,9/30/07,3Q07,3.0,72
12,12/31/07,4Q07,4.3,86
13,3/31/08,1Q08,4.3,93
14,6/30/08,2Q08,6.3,117
15,9/30/08,3Q08,5.0,113
16,12/31/08,4Q08,3.8,53
17,3/31/09,1Q09,1.7,43
18,6/30/09,2Q09,3.2,58
19,9/30/09,3Q09,3.5,68
20,12/31/09,4Q09,4.0,74
21,3/31/10,1Q10,4.2,75
22,6/30/10,2Q10,5.6,76
23,9/30/10,3Q10,4.7,76
24,12/31/10,4Q10,4.9,85
25,3/31/11,1Q11,6.5,103
26,6/30/11,2Q11,7.9,114
27,9/30/11,3Q11,7.2,112
28,12/31/11,4Q11,6.2,109
29,3/31/12,1Q12,7.3,118
30,6/30/12,2Q12,7.5,107
31,9/30/12,3Q12,6.9,109
32,12/31/12,4Q12,6.3,109
33,3/31/13,1Q13,6.6,111
34,6/30/13,2Q13,5.7,102
35,9/30/13,3Q13,6.9,111
36,12/31/13,4Q13,6.0,109
37,3/31/14,1Q14,6.1,107
38,6/30/14,2Q14,5.9,108
39,9/30/14,3Q14,6.6,101
40,12/31/14,4Q14,3.9,76
41,3/31/15,1Q15,3.0,53
42,6/30/15,2Q15,3.6,61
43,9/30/15,3Q15,2.6,50
44,12/31/15,4Q15,2.0,42
45,3/31/16,1Q16,2.8,32
46,6/30/16,2Q16,3.5,44
47,9/30/16,3Q16,2.7,44
48,12/31/16,4Q16,3.9,48
49,3/31/17,1Q17,4.7,52
50,6/30/17,2Q17,4.3,48
