Trend,EoP,Period,"Services export, $bn","Transport, $bn","Tourism, $bn","Telecom, $bn","Other, $bn"
1,3/31/05,1Q05,0.5,0.2,0.1,0.0,0.0
2,6/30/05,2Q05,0.5,0.3,0.2,0.0,0.0
3,9/30/05,3Q05,0.6,0.2,0.3,0.0,0.0
4,12/31/05,4Q05,0.6,0.3,0.2,0.0,0.1
5,3/31/06,1Q06,0.6,0.3,0.1,0.0,0.0
6,6/30/06,2Q06,0.7,0.4,0.2,0.0,0.0
7,9/30/06,3Q06,0.8,0.4,0.3,0.0,0.0
8,12/31/06,4Q06,0.7,0.4,0.2,0.0,0.0
9,3/31/07,1Q07,0.7,0.4,0.2,0.0,0.1
10,6/30/07,2Q07,0.8,0.4,0.3,0.0,0.1
11,9/30/07,3Q07,0.9,0.4,0.3,0.0,0.1
12,12/31/07,4Q07,1.0,0.5,0.2,0.0,0.1
13,3/31/08,1Q08,0.9,0.5,0.2,0.0,0.1
14,6/30/08,2Q08,1.1,0.6,0.3,0.0,0.1
15,9/30/08,3Q08,1.2,0.6,0.3,0.0,0.1
16,12/31/08,4Q08,1.1,0.6,0.2,0.0,0.1
17,3/31/09,1Q09,0.9,0.5,0.2,0.0,0.1
18,6/30/09,2Q09,1.0,0.5,0.2,0.1,0.1
19,9/30/09,3Q09,1.1,0.5,0.3,0.0,0.1
20,12/31/09,4Q09,1.0,0.6,0.2,0.0,0.1
21,3/31/10,1Q10,0.9,0.5,0.2,0.0,0.1
22,6/30/10,2Q10,1.0,0.6,0.2,0.0,0.1
23,9/30/10,3Q10,1.1,0.6,0.3,0.0,0.1
24,12/31/10,4Q10,1.1,0.6,0.3,0.0,0.1
25,3/31/11,1Q11,0.9,0.5,0.2,0.0,0.1
26,6/30/11,2Q11,1.1,0.5,0.3,0.0,0.1
27,9/30/11,3Q11,1.2,0.6,0.4,0.0,0.1
28,12/31/11,4Q11,1.1,0.6,0.3,0.0,0.1
29,3/31/12,1Q12,1.0,0.6,0.2,0.0,0.1
30,6/30/12,2Q12,1.2,0.6,0.4,0.0,0.1
31,9/30/12,3Q12,1.3,0.7,0.4,0.0,0.1
32,12/31/12,4Q12,1.2,0.7,0.3,0.0,0.1
33,3/31/13,1Q13,1.1,0.6,0.3,0.0,0.1
34,6/30/13,2Q13,1.4,0.8,0.4,0.0,0.1
35,9/30/13,3Q13,1.4,0.7,0.5,0.0,0.1
36,12/31/13,4Q13,1.3,0.7,0.4,0.0,0.1
37,3/31/14,1Q14,1.4,0.9,0.3,0.0,0.1
38,6/30/14,2Q14,1.7,1.0,0.4,0.0,0.1
39,9/30/14,3Q14,1.8,1.0,0.5,0.0,0.1
40,12/31/14,4Q14,1.8,1.0,0.3,0.0,0.2
41,3/31/15,1Q15,1.5,0.9,0.3,0.0,0.1
42,6/30/15,2Q15,1.6,0.8,0.4,0.0,0.1
43,9/30/15,3Q15,1.7,0.9,0.5,0.0,0.1
44,12/31/15,4Q15,1.6,1.0,0.4,0.0,0.1
45,3/31/16,1Q16,1.5,1.0,0.3,0.0,0.1
46,6/30/16,2Q16,1.6,0.9,0.4,0.0,0.1
47,9/30/16,3Q16,1.7,0.8,0.5,0.0,0.1
48,12/31/16,4Q16,1.5,0.9,0.4,0.0,0.1
49,3/31/17,1Q17,1.5,0.9,0.3,0.0,0.1
50,6/30/17,2Q17,1.7,0,0,0,0
