Trend,EoP,Period,"Service import, $bn","Transport, $bn","Tourism, $bn","Construction, $bn","Consulting, $bn",KZT REER
1,3/31/05,1Q05,1.2,0.2,0.2,0.1,0.6,0.98
2,6/30/05,2Q05,1.8,0.3,0.2,0.3,0.9,0.96
3,9/30/05,3Q05,2.1,0.3,0.3,0.6,0.8,0.95
4,12/31/05,4Q05,2.4,0.3,0.2,0.9,0.8,0.96
5,3/31/06,1Q06,1.9,0.3,0.2,0.7,0.6,1.01
6,6/30/06,2Q06,2.3,0.4,0.2,0.9,0.7,1.09
7,9/30/06,3Q06,2.3,0.4,0.3,0.8,0.5,1.09
8,12/31/06,4Q06,2.3,0.4,0.2,0.8,0.6,1.07
9,3/31/07,1Q07,2.1,0.4,0.2,0.7,0.6,1.12
10,6/30/07,2Q07,2.9,0.6,0.3,1.1,0.7,1.16
11,9/30/07,3Q07,3.5,0.6,0.4,1.3,0.9,1.16
12,12/31/07,4Q07,3.4,0.6,0.3,1.3,1.0,1.26
13,3/31/08,1Q08,2.4,0.5,0.2,0.7,0.8,1.33
14,6/30/08,2Q08,3.0,0.6,0.3,1.0,0.8,1.33
15,9/30/08,3Q08,3.2,0.7,0.3,0.9,0.9,1.36
16,12/31/08,4Q08,2.6,0.6,0.3,0.6,0.8,1.40
17,3/31/09,1Q09,2.1,0.4,0.2,0.4,0.8,1.26
18,6/30/09,2Q09,2.5,0.5,0.3,0.6,0.9,1.17
19,9/30/09,3Q09,2.9,0.5,0.4,0.5,1.3,1.17
20,12/31/09,4Q09,2.6,0.5,0.3,0.4,0.9,1.19
21,3/31/10,1Q10,2.4,0.4,0.2,0.4,1.1,1.23
22,6/30/10,2Q10,2.5,0.5,0.3,0.4,1.0,1.26
23,9/30/10,3Q10,3.1,0.5,0.4,0.3,1.5,1.27
24,12/31/10,4Q10,3.4,0.5,0.3,0.5,1.8,1.29
25,3/31/11,1Q11,1.9,0.4,0.3,0.3,0.7,1.33
26,6/30/11,2Q11,2.4,0.6,0.4,0.4,0.8,1.34
27,9/30/11,3Q11,3.2,0.5,0.5,0.5,1.3,1.34
28,12/31/11,4Q11,3.4,0.6,0.4,0.7,1.4,1.34
29,3/31/12,1Q12,2.7,0.6,0.3,0.7,0.8,1.35
30,6/30/12,2Q12,3.2,0.7,0.4,0.7,1.1,1.35
31,9/30/12,3Q12,3.5,0.7,0.5,0.8,1.2,1.35
32,12/31/12,4Q12,3.4,0.7,0.4,0.6,1.3,1.36
33,3/31/13,1Q13,2.6,0.6,0.4,0.4,0.9,1.39
34,6/30/13,2Q13,3.0,0.7,0.5,0.5,1.2,1.39
35,9/30/13,3Q13,3.5,0.7,0.6,0.6,1.3,1.38
36,12/31/13,4Q13,3.4,0.8,0.4,0.5,1.4,1.38
37,3/31/14,1Q14,2.7,0.5,0.4,0.4,1.2,1.28
38,6/30/14,2Q14,3.3,0.6,0.5,0.4,1.5,1.21
39,9/30/14,3Q14,3.5,0.6,0.6,0.4,1.5,1.22
40,12/31/14,4Q14,3.5,0.6,0.5,0.4,1.6,1.24
41,3/31/15,1Q15,2.5,0.4,0.5,0.3,1.0,1.26
42,6/30/15,2Q15,2.7,0.5,0.5,0.3,1.1,1.24
43,9/30/15,3Q15,3.4,0.5,0.6,0.5,1.4,1.08
44,12/31/15,4Q15,3.1,0.4,0.4,0.6,1.4,0.82
45,3/31/16,1Q16,2.5,0.3,0.3,0.4,1.2,0.74
46,6/30/16,2Q16,2.5,0.4,0.4,0.5,0.8,0.79
47,9/30/16,3Q16,3.2,0.4,0.5,0.6,1.2,0.78
48,12/31/16,4Q16,2.9,0.4,0.4,0.7,1.0,0.81
49,3/31/17,1Q17,2.4,0.3,0.4,0.3,1.0,0.86
50,6/30/17,2Q17,2.7,0,0,0,0,0.89
